"url_id","count"
"9c8e41f0-4a93-4f93-ab82-2676f1cf2b74","7"
"0c4429ec-e07d-4a88-8a13-74d7bc054480","7"
"7cdd58b8-6868-4d58-bf79-a24c2cd33b2a","7"
"15b6b2e4-eade-4732-b624-9e160753f245","7"
"b2adb08c-a3aa-4322-aa7b-de96f92be18c","7"
"b5056300-931c-4c50-b5d7-1487201d51ca","7"
"01b297d6-5d55-4a42-9667-c3959f585545","7"
"1c1b8b3a-0fa9-41f1-860d-0f96752b8fa1","7"
"156b596e-81ea-4b40-9bbc-75925e362fb1","7"
"a0a4e699-c5c1-483d-8850-d06dff39d81d","7"
"0df96619-3db0-42ee-89aa-e4078ef4bcf8","7"
"39a53277-0ed4-4c40-ad1a-4bc5abef6aef","7"
"3696b80a-fd28-41be-8287-8931bf09d6f2","1"
"635d8d79-fa7f-4d23-8074-0f38a8dd982b","7"
"e291038a-022d-4303-ab95-b31b96452ed4","1"
"4ff9612a-2218-46d2-9c82-7328aa142f41","7"
"1be4bf4d-acde-4095-8e67-e6aa96214ab3","7"
"0c291fb4-b3e7-41ea-90f3-ffd7daa90db6","7"
"9c60ff02-6a48-4af4-a782-a0fb4cdf6bc6","7"
"c42e82fd-064a-411c-a52d-12694158952e","7"
"0fcbd7e8-f899-4af3-9882-377331483b36","7"
"62c2aa7f-0abb-4e2b-8c1b-04be9a96b138","7"
"b78fb88e-98c3-4c04-acc0-09f9632a0110","7"
"74b2e2df-8472-4f88-b8e3-77611a473162","7"
"db9615b5-01bd-4986-880e-40b63dea3ac4","7"
"440d6ab4-3ac8-486e-a6d2-6e8454b255ed","7"
"42d20bf7-1b85-4584-b336-57359d2e6a94","7"
"7ec79d7b-6d04-44b9-bc8a-9d7a1eba111f","7"
"06d24bdd-87f8-4787-9601-758245b4e013","7"
"7d7f0b61-d210-476f-a0e3-2619750f2831","7"
"cb8a1507-36f5-43ea-8155-7d03f4241090","7"
"940ad793-95d7-418a-83f2-7f9afa3de16e","7"
"00f725a8-2a10-4de0-9430-1bd8165f87c2","7"
"3b19174b-965c-405b-8040-437eafefbbed","7"
"41238b8e-1dbc-435d-9701-a7685787c60b","7"
